system:index,Accretion_ha,Accretion_km2,Accretion_m2,Accretion_percent,Analysis_Period,Erosion_ha,Erosion_km2,Erosion_m2,Erosion_percent,Erosion_to_Accretion,From_Year,Image_Count,MNDWI_Threshold,Net_Change_ha,Net_Change_km2,New_Water_ha,New_Water_km2,New_Water_m2,Old_Water_ha,Old_Water_km2,Old_Water_m2,Period,Resolution_m,Satellite,To_Year,Total_Bank_Change_ha,Total_Bank_Change_km2,.geo
0,2.161078179333257,0.021610781793332572,21610.78179333257,1.5786836569291522,Full Year,15.052293429649206,0.15052293429649205,150522.93429649205,10.99581212005048,6.965177647711565,2016,19,0.05,-12.891215250315948,-0.1289121525031595,149.78236312835102,1.4978236312835103,1497823.6312835102,136.89114787803504,1.3689114787803505,1368911.4787803504,2016-2017,30,Landsat 8/9,2017,17.213371608982463,0.1721337160898246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.994232768722234,0.06994232768722233,69942.32768722234,4.669597022400266,Full Year,1.7690037816904107,0.017690037816904106,17690.037816904107,1.1810494538495975,0.2529232069028763,2017,18,0.05,5.225228987031823,0.05225228987031823,144.55713414131915,1.4455713414131914,1445571.3414131915,149.78236312835102,1.4978236312835103,1497823.6312835102,2017-2018,30,Landsat 8/9,2018,8.763236550412644,0.08763236550412644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.2070300785797725,0.06207030078579772,62070.30078579772,4.293824801833561,Full Year,4.26724992630304,0.042672499263030406,42672.499263030404,2.9519469596923344,0.6874865873502304,2018,19,0.05,1.9397801522767324,0.019397801522767315,142.61735398904247,1.4261735398904245,1426173.5398904246,144.55713414131915,1.4455713414131914,1445571.3414131915,2018-2019,30,Landsat 8/9,2019,10.474280004882813,0.10474280004882813,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.6714737774299175,0.056714737774299175,56714.737774299174,3.9767066340788135,Full Year,6.882736310628254,0.06882736310628254,68827.36310628254,4.826015991824576,1.2135710365123529,2019,19,0.05,-1.2112625331983367,-0.012112625331983366,143.82861652224076,1.4382861652224077,1438286.1652224078,142.61735398904247,1.4261735398904245,1426173.5398904246,2019-2020,30,Landsat 8/9,2020,12.554210088058172,0.1255421008805817,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,11.102212274409275,0.11102212274409276,111022.12274409276,7.719056570840683,Full Year,3.3745906249042585,0.033745906249042584,33745.906249042586,2.3462581414613224,0.3039565936496033,2020,19,0.05,7.727621649505017,0.07727621649505018,136.10099487273575,1.3610099487273575,1361009.9487273574,143.82861652224076,1.4382861652224077,1438286.1652224078,2020-2021,30,Landsat 8/9,2021,14.476802899313533,0.14476802899313534,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.24496772432215,0.042449677243221504,42449.6772432215,3.1189836108777174,Full Year,9.719575235021253,0.09719575235021252,97195.75235021253,7.141443193791315,2.2896699966248404,2021,36,0.05,-5.474607510699103,-0.05474607510699102,141.57560238343487,1.4157560238343487,1415756.0238343487,136.10099487273575,1.3610099487273575,1361009.9487273574,2021-2022,30,Landsat 8/9,2022,13.964542959343403,0.139645429593434,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,16.463056639500042,0.16463056639500043,164630.56639500044,11.628456006786035,Full Year,4.554860415757123,0.045548604157571226,45548.60415757123,3.217263666250215,0.27667161180923,2022,39,0.05,11.90819622374292,0.1190819622374292,129.66740615969192,1.296674061596919,1296674.061596919,141.57560238343487,1.4157560238343487,1415756.0238343487,2022-2023,30,Landsat 8/9,2023,21.017917055257165,0.21017917055257165,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,21.719624744849114,0.21719624744849114,217196.24744849114,16.75025774642265,Full Year,1.8672197265625,0.018672197265625,18672.197265625,1.4400070008826469,0.08596924433537084,2023,35,0.05,19.852405018286614,0.19852405018286615,109.81500114140529,1.098150011414053,1098150.011414053,129.66740615969192,1.296674061596919,1296674.061596919,2023-2024,30,Landsat 8/9,2024,23.586844471411613,0.23586844471411614,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.61259365234375,0.0161259365234375,16125.9365234375,1.4684639034582028,Full Year,25.7136335510972,0.257136335510972,257136.33551097199,23.415410721515695,15.9455133124981,2024,34,0.05,-24.10103989875345,-0.24101039898753449,133.91604104015877,1.3391604104015875,1339160.4104015876,109.81500114140529,1.098150011414053,1098150.011414053,2024-2025,30,Landsat 8/9,2025,27.32622720344095,0.2732622720344095,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,13.104755188443052,0.1310475518844305,131047.55188443052,9.785799435717484,Jan-2026 to Aug-2026,1.6125933776855468,0.016125933776855467,16125.933776855469,1.2041823855903582,0.12305406354387118,2025,23,0.05,11.492161810757505,0.11492161810757505,122.42387922940124,1.2242387922940123,1224238.7922940124,133.91604104015877,1.3391604104015875,1339160.4104015876,2025-2026,30,Landsat 8/9,2026,14.7173485661286,0.147173485661286,"{""type"":""MultiPoint"",""coordinates"":[]}"
